respondent_id,survey_year,age,gender,country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments
1518,2022,28,Male,United States,No,No,Yes,Rarely,100-500,Yes,Yes,Yes,Don't know,No,Yes,Don't know,Don't know,No,Yes,No,No,Maybe,Yes,Yes,No,Burnout is rampant in my team.
1519,2024,22,Male,Other,No,No,Yes,Often,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,No,No,Some of them,No,No,Yes,No,No,
1520,2020,35,Male,Australia,No,No,Yes,Sometimes,100-500,No,Yes,No,Yes,Yes,Don't know,Yes,Somewhat easy,No,No,No,No,No,Yes,No,No,
1521,2024,22,Male,Other,No,No,No,Never,100-500,Yes,Yes,Yes,Yes,Yes,Yes,No,Somewhat easy,No,No,No,Some of them,No,No,Don't know,No,Management needs training on mental health.
1522,2022,44,Female,United States,No,No,No,Never,26-100,No,Yes,No,Yes,No,No,Don't know,Very easy,Maybe,No,No,Yes,No,Maybe,No,No,Burnout is rampant in my team.
1523,2023,38,Male,United States,Yes,No,No,Rarely,6-25,Yes,Yes,No,Don't know,Don't know,No,Don't know,Very easy,Yes,No,Yes,Yes,No,No,Don't know,No,Open conversations help reduce stigma.
1524,2023,21,Male,Australia,No,No,Yes,Sometimes,100-500,No,Yes,Don't know,Yes,Yes,No,Don't know,Somewhat easy,No,Yes,Some of them,Yes,Yes,Yes,No,No,
1525,2019,35,Female,Australia,No,No,No,Never,26-100,No,Yes,No,No,No,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know,No,Glad to see more companies taking this seriously.
1526,2022,19,Male,Other,No,No,Yes,Sometimes,26-100,No,No,Don't know,Yes,No,No,Yes,Don't know,No,Yes,No,Some of them,Maybe,No,No,No,HR resources are available but rarely used.
1527,2021,29,Male,Other,No,No,No,Never,1-5,Yes,Yes,Don't know,No,No,No,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,Yes,Better awareness programs needed.
1528,2019,29,Male,United States,No,Yes,Yes,Never,6-25,No,Yes,Don't know,No,Don't know,Yes,Don't know,Don't know,Yes,No,No,No,No,No,Don't know,No,
1529,2023,29,Non-binary,United States,No,No,Yes,Sometimes,26-100,Yes,No,No,No,No,Yes,Don't know,Don't know,No,No,Yes,No,No,Yes,Yes,No,
1530,2020,27,Female,Canada,No,Yes,No,Never,1-5,Yes,Yes,Don't know,Yes,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Yes,No,No,Don't know,No,
1531,2019,32,Female,United States,No,Yes,No,Rarely,More than 1000,No,Yes,No,No,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Some of them,No,No,Don't know,Yes,Open conversations help reduce stigma.
1532,2022,38,Male,United States,No,Yes,No,Sometimes,More than 1000,No,Yes,No,Don't know,Yes,Don't know,Don't know,Don't know,Maybe,No,Yes,Some of them,No,No,Don't know,No,Better awareness programs needed.
1533,2024,33,Male,Netherlands,Yes,Yes,Yes,Sometimes,More than 1000,No,No,Don't know,No,Yes,Yes,Don't know,Don't know,Maybe,No,No,No,No,No,No,No,
1534,2024,29,Male,United States,No,No,No,Rarely,6-25,Yes,Yes,No,Yes,Don't know,No,No,Somewhat easy,Maybe,No,Some of them,Some of them,Maybe,Maybe,Yes,No,
1535,2023,27,Female,United States,No,No,No,Rarely,6-25,Yes,No,Yes,No,Don't know,No,Don't know,Don't know,No,Maybe,No,Yes,No,Maybe,No,No,Glad to see more companies taking this seriously.
1536,2023,23,Male,United States,No,No,No,Sometimes,26-100,No,No,No,No,Don't know,Yes,Don't know,Somewhat easy,Maybe,Maybe,No,Yes,No,Maybe,Yes,No,
1537,2021,27,Male,United States,No,No,No,Rarely,100-500,No,Yes,No,No,No,No,Don't know,Somewhat easy,No,No,No,No,No,No,Don't know,Yes,
1538,2019,38,Male,Canada,No,Yes,Yes,Sometimes,26-100,No,No,Don't know,No,Don't know,Don't know,Don't know,Somewhat difficult,No,No,Some of them,Yes,No,No,No,No,
1539,2020,26,Male,Other,Yes,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,Don't know,No,Don't know,Don't know,Yes,No,Yes,Some of them,Maybe,No,Don't know,No,Better awareness programs needed.
1540,2019,35,Female,Netherlands,No,No,Yes,Often,26-100,Yes,Yes,No,No,Don't know,Don't know,No,Somewhat difficult,Maybe,No,Some of them,Yes,No,Yes,No,No,Management needs training on mental health.
1541,2024,33,Male,United Kingdom,No,No,No,Rarely,100-500,Yes,Yes,Yes,Don't know,Don't know,Yes,Don't know,Very difficult,No,No,Some of them,Yes,No,Maybe,Yes,No,We have EAP but nobody talks about it.
1542,2024,18,Male,Canada,No,Yes,Yes,Sometimes,26-100,No,No,Don't know,No,Don't know,No,Don't know,Very difficult,Yes,No,Yes,Some of them,No,Maybe,Don't know,No,Open conversations help reduce stigma.
1543,2019,19,Female,United States,No,No,Yes,Rarely,100-500,No,Yes,Yes,Don't know,Don't know,Don't know,Yes,Very easy,No,Maybe,No,No,No,No,Don't know,Yes,Remote work has been a double-edged sword.
1544,2019,30,Female,United Kingdom,No,No,No,Rarely,100-500,No,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Yes,No,Yes,Some of them,Yes,Maybe,No,No,
1545,2023,24,Other / Prefer not to say,United States,Yes,Yes,Yes,Never,More than 1000,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,Yes,Yes,Yes,No,No,No,Glad to see more companies taking this seriously.
1546,2023,23,Male,Other,No,No,Yes,Often,100-500,Yes,Yes,Yes,No,Don't know,Yes,No,Very easy,No,No,Some of them,No,No,Maybe,Yes,No,Better awareness programs needed.
1547,2023,30,Female,United Kingdom,No,Yes,No,Never,100-500,Yes,Yes,No,Don't know,No,Yes,Yes,Somewhat easy,Maybe,Maybe,Yes,Some of them,No,No,Yes,No,
1548,2024,30,Male,Australia,No,No,Yes,Sometimes,6-25,No,Yes,No,No,No,Don't know,Don't know,Somewhat easy,Yes,Yes,No,No,No,Maybe,No,Yes,We have EAP but nobody talks about it.
1549,2021,18,Male,Other,Yes,No,No,Never,6-25,Yes,Yes,No,Don't know,Don't know,No,No,Don't know,No,Yes,No,No,Yes,Yes,Yes,No,We have EAP but nobody talks about it.
1550,2021,18,Male,United States,Yes,Yes,Yes,Rarely,26-100,Yes,No,Yes,No,Yes,Don't know,No,Somewhat easy,Yes,No,Yes,Some of them,Maybe,Yes,No,No,Remote work has been a double-edged sword.
1551,2021,28,Female,United States,No,Yes,No,Rarely,100-500,No,Yes,Don't know,Don't know,No,Yes,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Yes,No,Yes,
1552,2023,21,Female,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,No,Yes,No,Yes,Yes,Don't know,Maybe,No,No,Some of them,No,Maybe,No,No,More anonymous support options would help.
1553,2020,23,Male,United States,Yes,Yes,Yes,Rarely,100-500,No,Yes,No,No,Yes,Don't know,Yes,Don't know,No,No,No,Some of them,Maybe,Maybe,Yes,Yes,
1554,2021,22,Male,Other,No,No,No,Often,26-100,No,No,Don't know,Don't know,No,Yes,No,Very difficult,Maybe,No,No,Some of them,No,Maybe,Don't know,No,
1555,2024,24,Male,United States,Yes,No,No,Never,26-100,Yes,Yes,Don't know,Don't know,No,Yes,Don't know,Somewhat easy,No,Yes,Yes,Yes,No,No,Yes,No,Anonymous reporting would increase participation.
1556,2021,29,Male,Sweden,No,Yes,Yes,Rarely,26-100,Yes,No,Don't know,No,Don't know,No,No,Somewhat easy,No,No,No,Yes,No,Maybe,Don't know,No,Glad to see more companies taking this seriously.
1557,2020,29,Female,Canada,No,No,Yes,Rarely,100-500,Yes,Yes,No,Yes,Yes,Yes,Don't know,Somewhat difficult,Yes,No,Yes,No,No,Maybe,Yes,No,Leadership support makes all the difference.
1558,2023,22,Female,Netherlands,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,Don't know,Don't know,Don't know,Somewhat easy,Maybe,Yes,Yes,No,No,Maybe,No,No,We have EAP but nobody talks about it.
1559,2022,18,Female,Germany,No,No,No,Sometimes,26-100,No,No,Yes,No,Yes,Don't know,Don't know,Very difficult,No,Maybe,Yes,Yes,Yes,No,Yes,No,
1560,2022,28,Male,United States,No,No,Yes,Sometimes,6-25,No,Yes,Don't know,No,Don't know,No,Don't know,Don't know,Maybe,Yes,Some of them,Some of them,Yes,No,Don't know,No,
1561,2022,36,Female,United States,No,No,No,Often,6-25,No,Yes,Yes,No,Don't know,No,No,Don't know,No,No,No,Some of them,Maybe,Maybe,No,Yes,More anonymous support options would help.
1562,2022,18,Female,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Don't know,No,Yes,Don't know,Very difficult,Maybe,No,Yes,Some of them,No,No,Yes,No,
1563,2019,26,Female,United States,Yes,No,No,Never,1-5,No,No,Yes,No,Yes,No,Yes,Somewhat easy,No,No,Yes,No,No,Maybe,Yes,Yes,Leadership support makes all the difference.
1564,2024,18,Female,India,No,No,Yes,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Very difficult,No,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,More anonymous support options would help.
1565,2021,38,Female,United States,No,No,Yes,Never,100-500,No,Yes,Yes,Yes,Yes,Don't know,Yes,Somewhat difficult,Maybe,No,Yes,Yes,No,Yes,No,No,
1566,2024,23,Male,United States,No,No,Yes,Often,More than 1000,Yes,Yes,Don't know,Don't know,Yes,Don't know,Don't know,Don't know,No,No,No,Yes,No,No,No,No,
1567,2019,32,Male,Ireland,No,No,No,Rarely,1-5,Yes,Yes,No,Don't know,No,No,Yes,Don't know,Maybe,No,Some of them,No,Maybe,Maybe,Don't know,Yes,Burnout is rampant in my team.
1568,2024,22,Female,United States,No,No,No,Rarely,More than 1000,Yes,Yes,Yes,No,Don't know,Yes,Don't know,Somewhat difficult,No,No,No,No,Yes,Yes,Yes,No,Management needs training on mental health.
1569,2021,41,Female,United States,No,No,Yes,Never,100-500,Yes,No,Yes,Don't know,No,Don't know,Yes,Somewhat difficult,No,Maybe,No,No,Yes,No,Yes,No,
1570,2019,33,Non-binary,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Don't know,Don't know,Don't know,Don't know,Yes,Somewhat easy,No,No,Yes,No,No,Maybe,No,No,Better awareness programs needed.
1571,2022,45,Male,United States,No,Yes,Yes,Sometimes,26-100,No,No,No,No,No,Don't know,No,Somewhat easy,No,No,Some of them,No,Maybe,No,Don't know,No,
1572,2021,24,Male,United States,No,No,Yes,Sometimes,26-100,Yes,Yes,No,Don't know,No,No,Don't know,Don't know,Maybe,No,No,Yes,Maybe,Maybe,Don't know,Yes,
1573,2022,40,Male,India,No,Yes,No,Never,6-25,Yes,Yes,No,Don't know,No,No,Don't know,Somewhat easy,Yes,No,Some of them,Yes,No,Yes,No,Yes,Open conversations help reduce stigma.
1574,2021,28,Male,United States,No,Yes,No,Often,500-1000,No,Yes,Don't know,No,Yes,Yes,Don't know,Don't know,Maybe,No,Yes,No,No,No,No,Yes,
1575,2023,27,Male,United States,No,No,No,Rarely,100-500,No,Yes,Don't know,No,Don't know,Yes,Yes,Somewhat easy,No,No,No,Yes,No,Maybe,Don't know,No,Remote work has been a double-edged sword.
1576,2022,44,Male,Other,No,No,No,Never,More than 1000,Yes,Yes,Yes,Don't know,Yes,Yes,Yes,Somewhat easy,Yes,No,Some of them,Some of them,Maybe,Maybe,No,Yes,
1577,2024,22,Male,United Kingdom,No,Yes,Yes,Often,26-100,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,Maybe,No,Don't know,No,Glad to see more companies taking this seriously.
1578,2022,35,Female,Germany,No,No,No,Sometimes,More than 1000,No,No,No,No,Don't know,Don't know,Don't know,Very easy,Yes,Maybe,Yes,Yes,No,No,No,No,More anonymous support options would help.
1579,2021,32,Female,United States,No,Yes,Yes,Often,500-1000,Yes,No,No,Don't know,Yes,Yes,No,Somewhat difficult,No,Maybe,Some of them,No,Yes,Yes,Don't know,No,
1580,2020,22,Non-binary,United States,No,No,Yes,Often,6-25,No,Yes,Don't know,Yes,No,No,Don't know,Very easy,No,No,Some of them,No,No,Yes,No,No,Open conversations help reduce stigma.
1581,2023,29,Male,India,No,No,Yes,Rarely,26-100,No,Yes,No,Don't know,Don't know,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,Remote work has been a double-edged sword.
1582,2022,32,Male,United States,No,No,No,Never,100-500,Yes,Yes,No,Don't know,No,Yes,Don't know,Somewhat difficult,Yes,Maybe,Some of them,No,No,Maybe,Don't know,No,
1583,2019,27,Male,United States,No,No,No,Rarely,500-1000,No,No,Yes,Don't know,Yes,Yes,Yes,Very difficult,Maybe,Yes,Some of them,Some of them,No,Yes,Yes,No,More anonymous support options would help.
1584,2023,42,Male,Canada,No,Yes,Yes,Sometimes,6-25,No,Yes,Yes,No,No,No,Don't know,Somewhat easy,Yes,Yes,No,No,No,No,No,Yes,Stigma is still a major issue in my workplace.
1585,2021,33,Female,United States,No,No,Yes,Sometimes,26-100,Yes,Yes,No,Don't know,Yes,Yes,No,Don't know,Yes,Maybe,No,Some of them,No,Maybe,No,No,
1586,2021,25,Male,Other,No,Yes,No,Often,100-500,Yes,Yes,Don't know,No,No,Yes,No,Somewhat difficult,Maybe,No,No,No,No,No,Don't know,No,
1587,2021,30,Non-binary,United States,No,No,No,Sometimes,500-1000,No,Yes,No,Don't know,Yes,No,Don't know,Very easy,Yes,No,No,No,Maybe,Maybe,Don't know,Yes,Better awareness programs needed.
1588,2024,26,Female,United Kingdom,Yes,Yes,Yes,Sometimes,500-1000,Yes,Yes,No,Yes,Yes,Yes,Don't know,Somewhat difficult,No,No,Some of them,Yes,Yes,No,Don't know,No,
1589,2023,38,Male,United States,No,No,No,Rarely,26-100,No,No,Yes,Don't know,No,No,Don't know,Very difficult,No,No,No,Yes,No,No,Yes,No,More anonymous support options would help.
1590,2024,33,Male,United States,No,No,No,Rarely,100-500,Yes,Yes,Yes,Don't know,Yes,No,Don't know,Very easy,No,No,Some of them,Some of them,No,Yes,Yes,No,Anonymous reporting would increase participation.
1591,2024,42,Female,United States,No,Yes,No,Never,6-25,No,Yes,No,Yes,Yes,Yes,No,Somewhat easy,No,No,Yes,No,No,No,Yes,No,
1592,2024,39,Non-binary,United States,Yes,No,Yes,Often,100-500,Yes,Yes,Don't know,Yes,Yes,Yes,Yes,Somewhat easy,No,Yes,No,Yes,No,Maybe,No,No,
1593,2022,18,Female,United States,No,No,Yes,Often,More than 1000,No,No,No,Yes,No,Yes,Yes,Somewhat easy,No,No,Yes,Some of them,No,Yes,Don't know,No,
1594,2024,23,Female,Other,No,No,No,Never,More than 1000,Yes,No,Don't know,Yes,No,No,Yes,Very difficult,Yes,No,Yes,No,Maybe,No,No,No,
1595,2024,26,Male,Australia,Yes,No,No,Sometimes,More than 1000,No,Yes,Yes,No,Yes,Yes,No,Somewhat easy,Yes,No,No,Some of them,No,Maybe,Yes,No,Better awareness programs needed.
1596,2021,18,Male,Canada,No,No,No,Sometimes,100-500,No,No,Yes,No,Don't know,Yes,Yes,Somewhat difficult,Yes,Yes,No,No,No,No,Don't know,No,Management needs training on mental health.
1597,2023,28,Male,Other,No,No,Yes,Rarely,6-25,No,Yes,No,Yes,No,No,No,Don't know,No,No,No,Some of them,No,Yes,Don't know,No,Open conversations help reduce stigma.
1598,2020,34,Female,United States,Yes,No,Yes,Rarely,6-25,Yes,Yes,Don't know,No,Don't know,Yes,Don't know,Don't know,Yes,No,Some of them,Yes,Maybe,No,Don't know,No,
1599,2023,35,Male,United States,No,No,Yes,Sometimes,100-500,Yes,Yes,Yes,Don't know,No,No,Don't know,Somewhat easy,No,Maybe,Yes,No,Maybe,No,Yes,No,
1600,2020,29,Male,Germany,No,No,No,Rarely,100-500,No,No,Yes,Yes,Don't know,Yes,No,Very difficult,No,Maybe,Yes,Some of them,No,Maybe,Don't know,No,Management needs training on mental health.
1601,2021,31,Female,United States,Yes,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,No,Yes,Yes,Yes,Don't know,Yes,Maybe,Yes,Some of them,No,No,Yes,No,
1602,2023,26,Male,United Kingdom,No,Yes,No,Never,1-5,Yes,Yes,Yes,Yes,No,No,No,Somewhat easy,Yes,No,No,No,Maybe,No,Yes,Yes,Stigma is still a major issue in my workplace.
1603,2022,29,Female,United States,No,No,No,Often,100-500,Yes,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,No,No,Some of them,No,No,No,Don't know,No,
1604,2023,42,Male,United States,No,No,Yes,Often,More than 1000,No,No,Yes,No,Don't know,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Don't know,No,Management needs training on mental health.
1605,2022,18,Female,United States,No,No,No,Often,100-500,No,No,No,No,No,Don't know,Don't know,Very difficult,No,No,Some of them,No,No,Maybe,Yes,Yes,
1606,2021,21,Male,United Kingdom,No,No,Yes,Often,26-100,Yes,Yes,No,Don't know,No,No,Don't know,Somewhat difficult,Maybe,Yes,Yes,Yes,Yes,No,No,Yes,
1607,2022,21,Male,United States,No,No,No,Rarely,100-500,No,No,Don't know,Don't know,No,No,Yes,Very easy,Maybe,No,No,Yes,No,Maybe,Yes,No,
1608,2022,25,Female,United States,No,No,Yes,Often,26-100,Yes,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Yes,No,Yes,Yes,No,No,Don't know,No,
1609,2020,36,Female,Other,No,No,Yes,Sometimes,100-500,Yes,No,Don't know,Yes,Yes,Don't know,No,Somewhat difficult,Yes,No,Yes,Some of them,No,Maybe,Yes,No,Anonymous reporting would increase participation.
1610,2019,35,Male,United States,No,No,No,Rarely,6-25,No,No,No,No,Don't know,Yes,No,Don't know,Maybe,Maybe,Some of them,Yes,Maybe,Maybe,Don't know,No,Stigma is still a major issue in my workplace.
1611,2021,21,Male,Other,No,No,No,Rarely,100-500,Yes,No,Yes,Don't know,No,No,Yes,Very difficult,No,No,Some of them,Yes,Yes,No,No,No,Burnout is rampant in my team.
1612,2020,45,Non-binary,United States,Yes,No,Yes,Rarely,6-25,No,Yes,Don't know,No,No,No,No,Somewhat easy,Maybe,No,No,Some of them,Maybe,Yes,Don't know,Yes,
1613,2021,21,Male,Canada,No,No,No,Rarely,100-500,No,Yes,Yes,No,Don't know,No,No,Very difficult,No,No,No,Yes,Maybe,Maybe,No,No,
1614,2022,27,Male,United States,No,No,No,Sometimes,100-500,No,Yes,Yes,Don't know,Yes,Don't know,Yes,Don't know,Yes,No,Some of them,No,Maybe,No,Don't know,No,Stigma is still a major issue in my workplace.
1615,2024,26,Male,United Kingdom,No,Yes,Yes,Often,100-500,Yes,No,No,Yes,No,Yes,Don't know,Don't know,No,Maybe,Some of them,Some of them,No,No,No,No,
1616,2023,34,Male,United States,No,No,No,Often,26-100,No,Yes,Don't know,No,Don't know,No,Don't know,Somewhat easy,Maybe,No,No,Yes,No,Maybe,Yes,No,Stigma is still a major issue in my workplace.
1617,2023,32,Non-binary,United States,Yes,Yes,Yes,Never,100-500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,No,Some of them,No,Maybe,Don't know,Yes,More anonymous support options would help.
1618,2019,23,Male,United States,No,No,No,Sometimes,26-100,No,Yes,Don't know,No,No,Yes,Yes,Don't know,No,No,Some of them,Yes,No,Yes,No,Yes,
1619,2023,30,Female,United States,No,No,Yes,Rarely,26-100,No,No,Yes,No,Don't know,No,Don't know,Somewhat difficult,Maybe,No,Some of them,No,No,Maybe,Don't know,No,We have EAP but nobody talks about it.
1620,2022,32,Male,Sweden,Yes,No,No,Rarely,6-25,No,Yes,No,No,No,No,Yes,Very easy,No,No,No,Yes,No,Yes,No,No,
1621,2024,26,Female,United States,No,No,No,Never,More than 1000,No,No,Yes,No,No,Yes,Don't know,Somewhat easy,Yes,No,No,Yes,No,No,No,No,
1622,2019,22,Male,Other,No,Yes,Yes,Sometimes,500-1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,Yes,Some of them,No,No,Yes,No,HR resources are available but rarely used.
1623,2020,34,Female,Germany,No,No,No,Often,100-500,Yes,Yes,Yes,Yes,Yes,No,Yes,Don't know,Yes,Maybe,Some of them,No,Maybe,Maybe,Don't know,No,
1624,2021,45,Male,Australia,No,No,No,Rarely,500-1000,Yes,Yes,No,Yes,Don't know,Yes,Yes,Don't know,Maybe,Maybe,Some of them,Yes,No,Yes,Yes,No,
1625,2021,32,Male,United States,No,No,No,Sometimes,26-100,Yes,Yes,No,No,No,No,No,Somewhat difficult,Maybe,No,Yes,Some of them,Maybe,No,Don't know,No,Open conversations help reduce stigma.
1626,2019,37,Male,United States,Yes,No,No,Never,26-100,No,Yes,Yes,Don't know,No,No,Yes,Don't know,Yes,No,Some of them,No,No,Maybe,Yes,No,
1627,2020,34,Non-binary,United Kingdom,No,No,No,Never,6-25,Yes,Yes,No,Yes,No,Yes,No,Somewhat easy,Maybe,No,Some of them,No,No,No,Don't know,No,We have EAP but nobody talks about it.
1628,2021,27,Female,United States,No,Yes,Yes,Rarely,More than 1000,Yes,No,Yes,Yes,No,Yes,Don't know,Very difficult,No,No,Yes,No,Maybe,Yes,Yes,No,
1629,2019,37,Female,United Kingdom,No,No,No,Sometimes,500-1000,No,Yes,Yes,Yes,Don't know,Don't know,No,Somewhat difficult,Maybe,No,Yes,No,Maybe,No,Don't know,No,Open conversations help reduce stigma.
1630,2022,34,Male,United States,No,No,Yes,Often,100-500,No,Yes,Yes,Don't know,No,Don't know,No,Very easy,No,Maybe,Yes,Some of them,No,No,No,Yes,Anonymous reporting would increase participation.
1631,2024,32,Male,United Kingdom,No,Yes,Yes,Often,100-500,Yes,No,Yes,Don't know,Yes,Don't know,Yes,Somewhat easy,No,Yes,Yes,No,No,Yes,Yes,No,
1632,2022,45,Male,United States,No,No,No,Rarely,500-1000,Yes,Yes,No,Yes,Yes,Yes,Don't know,Don't know,Yes,Yes,Some of them,No,No,No,Don't know,Yes,
1633,2020,26,Female,United Kingdom,No,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,No,No,No,No,Maybe,Yes,Yes,Yes,More anonymous support options would help.
1634,2023,29,Male,United States,No,Yes,No,Often,100-500,No,Yes,Don't know,Don't know,No,No,Yes,Don't know,No,Maybe,Yes,Yes,No,No,Yes,No,Burnout is rampant in my team.
1635,2020,29,Male,India,No,Yes,Yes,Rarely,6-25,Yes,Yes,Don't know,No,Yes,Don't know,Don't know,Somewhat easy,No,Maybe,No,No,No,No,Don't know,No,
1636,2022,20,Female,United States,No,No,Yes,Rarely,100-500,No,No,No,Don't know,Yes,No,Yes,Don't know,Maybe,Maybe,No,Yes,No,No,No,No,
1637,2020,30,Female,Other,No,No,No,Sometimes,26-100,No,Yes,No,No,No,No,Don't know,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,
1638,2019,26,Male,Germany,No,No,No,Rarely,100-500,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe,Yes,Yes,No,Maybe,Yes,No,
1639,2024,34,Non-binary,United Kingdom,No,No,No,Rarely,100-500,Yes,No,Don't know,Don't know,No,Yes,Don't know,Very difficult,Yes,No,Some of them,No,Maybe,Maybe,Don't know,No,Better awareness programs needed.
1640,2023,29,Female,Other,No,Yes,Yes,Often,6-25,Yes,Yes,Yes,No,Don't know,No,Yes,Somewhat easy,Maybe,Maybe,Some of them,No,No,No,No,Yes,
1641,2023,18,Male,United States,Yes,No,Yes,Never,100-500,Yes,Yes,Yes,Yes,Yes,No,Don't know,Don't know,No,Maybe,No,Yes,No,No,Don't know,No,Glad to see more companies taking this seriously.
1642,2019,27,Male,Sweden,Yes,Yes,No,Often,More than 1000,Yes,Yes,Don't know,Don't know,Yes,No,Yes,Somewhat difficult,No,No,Some of them,Yes,No,No,Don't know,No,Anonymous reporting would increase participation.
1643,2023,30,Female,Germany,No,No,No,Sometimes,100-500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Some of them,No,No,Don't know,No,
1644,2022,21,Male,Other,No,No,No,Sometimes,100-500,Yes,No,Yes,Don't know,Don't know,Yes,Don't know,Somewhat easy,No,No,Yes,Some of them,No,Yes,No,No,We have EAP but nobody talks about it.
1645,2020,26,Male,Germany,No,No,Yes,Sometimes,26-100,Yes,No,No,Yes,No,No,Don't know,Very easy,Maybe,No,Yes,Yes,No,No,Don't know,No,More anonymous support options would help.
1646,2019,35,Male,United Kingdom,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,Yes,Don't know,No,No,Don't know,No,Yes,Yes,Yes,Maybe,Yes,Don't know,No,Glad to see more companies taking this seriously.
1647,2021,32,Male,Brazil,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,Don't know,Don't know,Don't know,No,Very easy,Maybe,No,Yes,No,Maybe,Yes,Don't know,No,HR resources are available but rarely used.
1648,2022,19,Female,United States,No,Yes,No,Often,26-100,No,Yes,No,No,Don't know,Yes,No,Somewhat difficult,No,No,Some of them,Some of them,Maybe,No,Don't know,No,We have EAP but nobody talks about it.
1649,2023,36,Female,United States,No,No,No,Never,100-500,Yes,Yes,Yes,Don't know,No,Yes,Yes,Don't know,No,No,Yes,No,No,No,Don't know,No,Leadership support makes all the difference.
1650,2023,35,Other / Prefer not to say,United States,No,No,No,Never,500-1000,No,No,Yes,Yes,Yes,Yes,Don't know,Somewhat difficult,No,No,Some of them,No,No,No,No,No,Stigma is still a major issue in my workplace.
1651,2022,27,Male,Canada,No,No,No,Rarely,26-100,Yes,Yes,Don't know,Yes,No,Don't know,Yes,Don't know,Maybe,No,Yes,No,Maybe,No,Don't know,Yes,Glad to see more companies taking this seriously.
1652,2023,35,Female,United Kingdom,No,No,Yes,Sometimes,100-500,Yes,No,No,Yes,Yes,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,Open conversations help reduce stigma.
1653,2024,27,Male,United States,No,No,No,Rarely,1-5,Yes,No,No,Don't know,Don't know,Yes,Don't know,Very difficult,Yes,No,Some of them,Yes,Maybe,No,Yes,No,
1654,2022,25,Male,United States,No,Yes,Yes,Sometimes,100-500,Yes,Yes,Yes,Yes,Don't know,Yes,Don't know,Somewhat difficult,No,Yes,Some of them,Some of them,No,Maybe,Yes,Yes,
1655,2019,25,Male,United Kingdom,No,Yes,No,Never,26-100,No,Yes,No,Yes,No,No,Don't know,Very difficult,No,No,Yes,Yes,Maybe,No,Yes,No,
1656,2022,31,Male,Other,No,Yes,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Don't know,Yes,No,Yes,Yes,No,Yes,Don't know,No,Anonymous reporting would increase participation.
1657,2019,25,Male,United States,No,No,No,Rarely,500-1000,No,No,Don't know,No,Yes,Yes,Don't know,Somewhat easy,No,Maybe,Some of them,Some of them,Maybe,No,Don't know,Yes,Stigma is still a major issue in my workplace.
1658,2021,31,Male,Other,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,No,No,No,Don't know,Yes,No,Some of them,Yes,No,No,Don't know,Yes,
1659,2023,34,Female,United States,No,Yes,Yes,Sometimes,500-1000,Yes,Yes,Yes,Don't know,Don't know,Don't know,No,Somewhat difficult,Yes,No,No,No,No,No,Yes,No,
1660,2023,35,Female,Sweden,No,No,Yes,Sometimes,More than 1000,No,Yes,No,Don't know,No,Don't know,Don't know,Don't know,No,No,No,No,No,No,No,No,
